,Category,Class,Fuel Type,HIN,Hull Material,Hull Shape,Hull Warranty,Length,Location,Make,Pricing Details,Propulsion Type,Year,make-primary,model,price,year-primary
2276," Freshwater Fishing, Cuddy Cabin",Power,Gas,,Fiberglass,,,24',"Erie, PA",Grady White Grady-White,,Twin Outboard,1989,Grady White Grady-White,Offshore 24,"$12,900",1989
2277, Walkarounds,Power,Gas,,Fiberglass,,,24',"Trenton, NJ",Grady-White,,Other,1986,Grady-White,Offshore 24,"$11,995",1986
2278, Cuddy Cabin,Power,Gas,,Fiberglass,,,24',"Farmingdale, NJ",Grady White,,Other,1992,Grady White,244 Explorer,"$10,990",1992
2279," Unspecified, Other",Power,Gas,,Other,Other,,24',"Freeport, NY",Grady-White,,Other,2004,Grady-White,258 Journey,"$61,200",2004
2280," Saltwater Fishing, Sports Fishing Boats",Power,Gas,,Fiberglass,,,24',"Long Island, NY",Grady-White,,Other,1987,Grady-White,Offshore,"$14,900",1987
2281, Pontoon Boats,Power,Gas,Only 1 available!!,Aluminum,Pontoon,20 year,24',"Tonawanda, NY",Misty Harbor,,Single Outboard,2013,Misty Harbor,245 Adventure RL (ex-rentals),"$12,900",2013
2282, Pontoon Boats,Power,Other,,Other,Other,,24',"Tafton, PA",Harris,,Other,2017,Harris,Cruiser 240,"$40,000",2017
2283, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,24',"Pittsfield, MA",Harris,,Other,2017,Harris,Cruiser 240,Request,2017
2284, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,24',"Pittsfield, MA",Harris,,Other,2017,Harris,Solstice 240,Request,2017
2285, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,24',"Pittsfield, MA",Harris,,Other,2017,Harris,Sunliner 240,Request,2017
2286, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,24',"New Fairfield, CT",Harris,,Other,2017,Harris,Sunliner 240,Request,2017
2287, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,24',"New Fairfield, CT",Harris,,Other,2017,Harris,Solstice 240,Request,2017
2288, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,24',"New Fairfield, CT",Harris,,Other,2017,Harris,Cruiser 240,Request,2017
2289, Other,Power,Other,,Aluminum,Other,,24',"Milton, PA",Harris,,Other,1998,Harris,240 SL-SK,"$5,995",1998
2290," Saltwater Fishing, Center Consoles",Power,Gas,,Fiberglass,Modified Vee,10 year,24',"Westport, CT",Sea Hunt,,Other,2012,Sea Hunt,Triton 240,"$44,900",2012
2291," Deck Boats, Bowrider",Power,Gas,,Fiberglass,Other,,24',"Middletown, PA",Hurricane,,Other,2016,Hurricane,SD 240 I/O,Request,2016
2292," Deck Boats, Bowrider",Power,,,Fiberglass,Modified Vee,10 year,24',"Middletown, PA",Hurricane,,Other,2016,Hurricane,SunDeck 2400 OB,Request,2016
2293, Deck Boats,Power,,,Fiberglass,,,24',"Middletown, PA",Hurricane,,Other,2016,Hurricane,Sd 2400 O/B,Request,2016
2294, Pontoon Boats,Power,Gas,241CJ,Aluminum,,,24',"Hesston, PA",JC PONTOON,,Single Outboard,2001,JC PONTOON,Suntoon 24,Request,2001
2295, Pontoon Boats,Power,,,Aluminum,,,24',"Wrightsville, PA",JC PONTOON,,Other,2011,JC PONTOON,Spirit 242,"$18,900",2011
2296," Unspecified, Other",Power,Gas,,Other,Other,,24',"Redwood, NY",JC TriToon Marine,,Other,2006,JC TriToon Marine,Tritoon 246,"$29,900",2006
2297," Unspecified, Other",Power,Gas,,Other,Other,,24',"Kenilworth, NJ",Larson,,Other,2004,Larson,240 Cabrio,"$25,999",2004
2298, Cruisers,Power,Other,LAR36930G394,Fiberglass,Other,,24',"Angola, NY",Larson,,Other,1994,Larson,Hampton 240 Mid Cabin,"$8,500",1994
2299, Cruisers,Power,Other,,Fiberglass,Other,,24',"Brookfield, CT",Larson,,Other,1998,Larson,244 Cabrio mid-cabin,"$14,995",1998
2300, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,24',"Bloomsburg, PA",Lowe,,Other,2003,Lowe,SUNCRUISER 240 TRINIDAD,"$12,995",2003
2301," Antique and Classics, Cuddy Cabin, Cruisers",Power,Gas,,Wood,,,24',"Scotia, NY",Lyman,,Other,1961,Lyman,Sleeper,"$15,900",1961
2302, Ski and Wakeboard Boats,Power,,MB2L9629F617,Fiberglass,,,24',"Brookfield, CT",Malibu,,Other,2017,Malibu,24MXZ,Request,2017
2303, Pontoon Boats,Power,Other,,Other,Other,,24',"Schnectady, NY",Manitou,,Other,2014,Manitou,X-PLODE 23,Request,2014
2304, Pontoon Boats,Power,Other,,Aluminum,Other,,24',"Schnectady, NY",Manitou,,Other,2017,Manitou,Aurora LE 24 RF,"$35,399",2017
2305, Pontoon Boats,Power,Other,,Aluminum,Other,,24',"Schnectady, NY",Manitou,,Other,2017,Manitou,Encore Pro Angler 24,Request,2017
2306, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,24',"Burnt Hills, NY",STARCRAFT MARINE,,Other,2002,STARCRAFT MARINE,24,Request,2002
2307, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,24',"Duncannon, PA",STARCRAFT MARINE,,Single Outboard,1993,STARCRAFT MARINE,Stardeck 240 DLX,"$7,995",1993
2308, Pontoon Boats,Power,Other,,Aluminum,Other,,24',"203-775-2253, CT",Marker One,,Other,2017,Marker One,ML4,"$112,744",2017
2309, Ski and Wakeboard Boats,Power,Gas,,Fiberglass,Modified Vee,99 year,24',"Lake George, NY",Mastercraft,,Single Inboard,2010,Mastercraft,X-45,"$64,900",2010
2310, Ski and Wakeboard Boats,Power,Gas,,Fiberglass,Other,,24',"Milford, CT",Mastercraft,,Single Inboard,2007,Mastercraft,x 45,"$44,900",2007
2311," Unspecified, Other",Power,Gas,,Other,Other,,24',"Harrington Park, NJ",Maxum,,Other,2001,Maxum,2300 SC,"$10,995",2001
2312, Bowrider,Power,Gas,MXKA23MDF900,Fiberglass,Deep Vee,,24',"Hewitt, NJ",Maxum,,Other,2000,Maxum,2300/SR,"$12,900",2000
2313, Bowrider,Power,Gas,,Fiberglass,,,24',"Wellesley Island, NY",Maxum,,Other,2005,Maxum,SR3 2400,"$18,900",2005
2314," Cruisers, Express Cruiser",Power,Gas,,Fiberglass,Modified Vee,,24',"Bronx, NY",Maxum,,Other,2004,Maxum,2400 SCR,"$24,000",2004
2315, Cruisers,Power,,,Fiberglass,,,24',"Lake George, NY",Maxum,,Other,2003,Maxum,2400 SCR,Request,2003
2316," Unspecified, Other",Power,Gas,,Other,Other,,24',"Greenwich, CT",Maxum,,Other,2003,Maxum,2400 SCR,"$18,500",2003
2317, Cruisers,Power,Gas,,Fiberglass,Modified Vee,5 year,24',"Island Park, NY",Maxum,,Other,2002,Maxum,2400 SCR,"$19,000",2002
2318," Runabouts, Bowrider",Power,Gas,,Fiberglass,Deep Vee,99 year,24',"Lake George, NY",Monterey,,Other,2013,Monterey,244FS,"$49,900",2013
2319," Runabouts, Bowrider",Power,Gas,,Fiberglass,,,24',"Lake George, NY",Monterey,,Other,2012,Monterey,244FS,"$49,900",2012
2320," Bowrider, Express Cruiser",Power,Gas,,Fiberglass,,,24',"Red Bank, NJ",Monterey,,Other,2014,Monterey,244FSX,"$47,999",2014
2321, High Performance Boats,Power,Other,,Fiberglass,Other,,24',"Alexandria Bay, NY",Velocity Powerboats,,Other,1999,Velocity Powerboats,260 Velocity,"$18,900",1999
2322," Pontoon Boats, Deck Boats",Power,Gas,,Aluminum,,,24',"Silver Springs, NY",Premier,,Single Outboard,2017,Premier,240 SunSpree RF,Request,2017
2323, Pontoon Boats,Power,Other,,Aluminum,Other,,24',"Hesston, PA",Premier,,Other,2016,Premier,240 SunSation,Request,2016
2324, Cuddy Cabin,Power,,,Fiberglass,,,24',"Norwalk, CT",Pursuit,,Other,2001,Pursuit,Denali 24,"$19,900",2001
2325, Saltwater Fishing,Power,Gas,,Fiberglass,,,24',"Neptune, NJ",Rampage,,Single Inboard,1989,Rampage,1989 Express,"$12,500",1989
2326, Cuddy Cabin,Power,Gas,,Fiberglass,Modified Vee,,24',"Glen Cove N.y., NY",Sea Ray,,Other,2003,Sea Ray,225 Weekender,"$22,000",2003
2327, Bowrider,Power,,,Fiberglass,Other,,24',"Holmdel, NJ",Sea Ray,,Other,2005,Sea Ray,230 Sundeck,"$24,999",2005
2328, Deck Boats,Power,Other,,Other,Other,,24',"Rochester, NY",Sea Ray,,Other,2017,Sea Ray,240 SDX,Request,2017
2329, Deck Boats,Power,Other,,Fiberglass,Other,,24',"N Tonawanda, NY",Sea Ray,,Other,2017,Sea Ray,SDX 240,Request,2017
2330, Deck Boats,Power,Other,,Fiberglass,Other,,24',"N Tonawanda, NY",Sea Ray,,Other,2017,Sea Ray,240 SDX,Request,2017
2331, Deck Boats,Power,Other,,Fiberglass,Other,,24',"Ashville, NY",Sea Ray,,Other,2017,Sea Ray,SDX 240,Request,2017
2332, Ski and Fish,Power,Other,,Fiberglass,Other,,24',"Alexandria Bay, NY",Sea Ray,,Other,2015,Sea Ray,240 Sundeck Outboard,"$68,597",2015
2333, Sports Fishing Boats,Power,Gas,SERV1995A313,Fiberglass,,,24',"New Windsor, NY",Sea Ray,,Other,2013,Sea Ray,240 Sundeck,"$44,900",2013
2334," Other, Bowrider, Deck Boats",Power,Gas,,Fiberglass,Modified Vee,99 year,24',"Norwalk, CT",Sea Ray,,Other,2011,Sea Ray,240 Sundeck,"$41,500",2011
2335, Bowrider,Power,Gas,,Fiberglass,Modified Vee,99 year,24',"Glen Cove, NY",Sea Ray,,Other,2011,Sea Ray,240 Sundeck,"$41,499",2011
2336, Cruisers,Power,Other,,Other,Other,,24',"Brookfield, CT",Sea Ray,,Other,2010,Sea Ray,240 Sundancer Boat,"$45,995",2010
2337, Cruisers,Power,Other,,Fiberglass,Other,,24',"Middletown, NJ",Sea Ray,,Other,2007,Sea Ray,240 Sundancer,"$29,500",2007
2338, Bowrider,Power,Other,,Fiberglass,Other,,24',"Merrick, NY",Sea Ray,,Other,2006,Sea Ray,240 Sundeck,"$24,000",2006
2339, Bowrider,Power,Other,,Fiberglass,Other,,24',"Merrick, NY",Sea Ray,,Other,2006,Sea Ray,240 Sundeck,"$24,000",2006
2340," Unspecified, Other",Power,Other,,Other,Other,,24',"Stony Point, NY",Sea Ray,,Other,2004,Sea Ray,240 Sundeck,"$23,950",2004
2341," Unspecified, Other",Power,Gas,,Other,Other,,24',"Easton, PA",Sea Ray,,Other,2002,Sea Ray,240 Sundancer,"$33,999",2002
2342, Deck Boats,Power,,,Fiberglass,Deep Vee,,24',"Wrightsville, PA",Sea Ray,,Other,2002,Sea Ray,240 Sundeck,"$22,500",2002
2343, Cruisers,Power,Gas,,Fiberglass,Deep Vee,,24',"Norwalk, CT",Sea Ray,,Other,2002,Sea Ray,240 Sundancer,"$19,900",2002
2344, Cruisers,Power,Other,,Fiberglass,Other,,24',"Ticonderoga, NY",Sea Ray,,Other,2001,Sea Ray,240 Sundancer,"$19,500",2001
2345, Deck Boats,Power,Gas,,Fiberglass,Deep Vee,,24',"Shelton, CT",Sea Ray,,Other,2001,Sea Ray,240 Sundeck,"$19,995",2001
2346, Cruisers,Power,Other,,Fiberglass,,,24',"Seaford, NY",Sea Ray,,Other,1994,Sea Ray,Signature 240,"$12,990",1994
2347," Unspecified, Other",Power,Gas,,Other,Other,,24',"Sodus Point, NY",Sea Ray,,Other,1993,Sea Ray,240 Overnighter,"$16,400",1993
2348, Other,Power,Other,,Fiberglass,Other,,24',"Oceanside, NY",Sea Ray,,Other,2011,Sea Ray,245 Sundancer,"$38,500",2011
2349, Cuddy Cabin,Power,Gas,SERV4929B101,Fiberglass,,,24',"New Windsor, NY",Sea Ray,,Other,2001,Sea Ray,245 Weekender,"$22,900",2001
2350," Express Cruiser, Cuddy Cabin",Power,,,Fiberglass,,,24',"Elkton, MD",Sea Ray,,Other,1993,Sea Ray,Overnighter,"$7,000",1993
2351, Bowrider,Power,Gas,,Fiberglass,,,24',"Seaford, NY",Sea Ray,,Other,2012,Sea Ray,SunDeck,"$39,990",2012
2352, Bowrider,Power,Other,RGMDG673K617,Fiberglass,Modified Vee,,24',"Bridgeport, NY",Regal,,Other,2017,Regal,2300 Bowrider,"$67,999",2017
2353," Bowrider, Runabouts",Power,Gas,,Fiberglass,,,24',"James Creek, PA",Regal,,Other,2017,Regal,2300 RX,Request,2017
2354," Unspecified, Other",Power,Other,,Other,Other,,24',"Parsippany, NJ",Regal,,Other,2012,Regal,24 FasDeck,"$49,500",2012
2355, Cruisers,Power,Other,,Fiberglass,Other,,24',"N Tonawanda, NY",Regal,,Other,1992,Regal,240,"$15,495",1992
2356, Cruisers,Power,Gas,,Fiberglass,Deep Vee,99 year,24',"Seaford, NY",Regal,,Other,2004,Regal,2465 Commodore,"$20,990",2004
2357," Unspecified, Other",Power,Gas,,Other,Other,,24',"Merrick, NY",Rinker,,Other,2002,Rinker,242 FIESTA VEE,"$21,400",2002
2358," Unspecified, Other",Power,Other,,Other,Other,,24',"Sodus, NY",Rinker,,Other,2001,Rinker,Fiesta Vee 242,"$32,800",2001
2359, Other,Power,Gas,,Fiberglass,,,24',"Tonawanda, NY",Rinker,,Other,2013,Rinker,246 Cuddy,"$45,900",2013
2360, Cuddy Cabin,Power,Gas,,Ferro cement,,,24',"Seaford, NY",Rinker,,Other,2006,Rinker,Captiva Cuddy,"$20,990",2006
2361, Walkarounds,Power,Other,,Fiberglass,Other,,24',"Oceanside, NY",Robalo,,Other,1995,Robalo,2440 WA,"$10,500",1995
2362," Center Consoles, Saltwater Fishing",Power,Gas,,Fiberglass,Deep Vee,10 year,24',"Green Brook, NJ",Robalo,,Single Outboard,2017,Robalo,R242 Center Console,Request,2017
2363," Center Consoles, Saltwater Fishing",Power,Gas,,Fiberglass,Deep Vee,10 year,24',"Westport, CT",Robalo,,Single Outboard,2017,Robalo,R242 Center Console,Request,2017
2364," Dual Console, Bowrider",Power,Gas,ROBD0129J617,Fiberglass,Modified Vee,10 year,24',"Sodus Point, NY",Robalo,,Single Outboard,2017,Robalo,R247,Request,2017
2365, Center Consoles,Power,,,Fiberglass,,,24',"Island Park, NY",Sailfish,,Other,2018,Sailfish,241CC,Request,2018
2366," Dual Console, Saltwater Fishing",Power,Gas,,Fiberglass,Deep Vee,10 year,24',"North East, MD",Sailfish,,Single Outboard,2017,Sailfish,245 DC,Request,2017
2367, Dual Console,Power,,,Fiberglass,,,24',"Island Park, NY",Sailfish,,Other,2018,Sailfish,245DC,Request,2018
2368, Sports Fishing Boats,Power,Gas,,Fiberglass,,,24',"Norwalk, CT",Sailfish,,Single Inboard,2017,Sailfish,245DC,Request,2017
2369, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,24',"Burnt Hills, NY",Sanpan,,Single Outboard,2016,Sanpan,SP 2200,"$75,502",2016
2370, Saltwater Fishing,Power,Gas,,Fiberglass,Other,,24',"Oceanside, NY",Sea Sport,,Other,2004,Sea Sport,24 Explorer,"$59,900",2004
2371, Aluminum Fish Boats,Power,,,Aluminum,Modified Vee,,24',"Middletown, PA",SeaArk,,Single Outboard,2017,SeaArk,ProCat 240,Request,2017
2372," Freshwater Fishing, Aluminum Fish Boats",Power,,,Aluminum,,,24',"Middletown, PA",SeaArk,,Other,2018,SeaArk,2472 FX Deluxe Center Console,Request,2018
2373, Aluminum Fish Boats,Power,,,Aluminum,Modified Vee,,24',"Middletown, PA",SeaArk,,Single Outboard,2017,SeaArk,2472 FXJT,Request,2017
2374, Aluminum Fish Boats,Power,,,Aluminum,Modified Vee,,24',"Middletown, PA",SeaArk,,Single Outboard,2017,SeaArk,2472 VFX,Request,2017
2375, Jon Boats,Power,,,Aluminum,Modified Vee,,24',"Middletown, PA",SeaArk,,Single Outboard,2017,SeaArk,2472 MV,Request,2017
2376, Aluminum Fish Boats,Power,,,Aluminum,Modified Vee,,24',"Middletown, PA",SeaArk,,Single Outboard,2016,SeaArk,2472 FXJT,Request,2016
2377, Aluminum Fish Boats,Power,,,Aluminum,Modified Vee,,24',"Middletown, PA",SeaArk,,Single Outboard,2016,SeaArk,2472 VFX,Request,2016
2378," Jon Boats, Bay Boats",Power,,,Aluminum,,,24',"Middletown, PA",SeaArk,,Other,2017,SeaArk,2472MV,Request,2017
2379," Jon Boats, Aluminum Fish Boats",Power,Gas,,Aluminum,,,24',"Middletown, PA",SeaArk,,Other,2017,SeaArk,2472MV,Request,2017
2380, Commercial Boats,Power,Gas,,Aluminum,Other,,24',"Middletown, PA",SeaArk,,Other,2017,SeaArk,2472MV,Request,2017
2381, Aluminum Fish Boats,Power,Gas,,Aluminum,Modified Vee,,24',"Middletown, PA",SeaArk,,Single Outboard,2018,SeaArk,Big Daddy SC,Request,2018
2382," Runabouts, Aluminum Fish Boats",Power,,,Aluminum,,,24',"Middletown, PA",SeaArk,,Other,2017,SeaArk,Big Easy,Request,2017
2383, Cuddy Cabin,Power,,,Fiberglass,,,24',"Bridgeport, CT",Seaway,,Other,2018,Seaway,24 Hardtop Sport,Request,2018
2384," Lobster Boat, Downeast",Power,Gas,,Fiberglass,Semi Displacement,,24',"Norwalk, CT",Seaway,,Single Outboard,2014,Seaway,24 Offshore hard-top,"$64,900",2014
2385," Center Consoles, Downeast",Power,,,Fiberglass,,10 year,24',"Bridgeport, CT",Seaway,,Other,2016,Seaway,Sport Center Console,"$47,500",2016
2386, Bowrider,Power,Gas,,Fiberglass,Modified Vee,99 year,24',"Seaford, NY",SouthWind,,Other,2017,SouthWind,BOATS 2400SD,Request,2017
2387," Unspecified, Other",Sails,Gas,,Other,Other,,24',"Croydon, PA",Sovereign,,Other,1994,Sovereign,24 Shoal,"$11,999",1994
2388, Pontoon Boats,Power,Gas,,Aluminum,Other,,24',"Guilderland, NY",Starcraft,,Single Outboard,2015,Starcraft,SJS3,"$30,000",2015
2389, Bowrider,Power,Gas,,Fiberglass,Deep Vee,,24',"Hawley, PA",Stingray,,Other,2017,Stingray,235LR,Request,2017
2390, Cuddy Cabin,Power,Other,,Fiberglass,Other,,24',"Valatie, NY",Stingray,,Other,2004,Stingray,240 CS,"$22,500",2004
2391, Cruisers,Power,Gas,,Fiberglass,Other,,24',"Verplanck, NY",Stingray,,Other,2001,Stingray,240 CS,"$11,900",2001
2392," Unspecified, Other",Power,Other,,Other,Other,,24',"Hewitt, NJ",Superboat,,Other,1983,Superboat,24,"$14,795",1983
2393, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,24',"Duncannon, PA",Sweetwater,,Single Outboard,2016,Sweetwater,SW 220 SLC,Request,2016
2394, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,24',"Middletown, PA",Sweetwater,,Other,2016,Sweetwater,Premium 220 DL,Request,2016
2395, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,24',"Duncannon, PA",Sweetwater,,Single Outboard,2017,Sweetwater,SWPE 235 SB,Request,2017
2396, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,24',"Quakertown,, PA",Sweetwater,,Single Outboard,2017,Sweetwater,SWPE 235 C4,"$29,020",2017
2397, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,24',"Hesston, PA",Sweetwater,,Single Outboard,2000,Sweetwater,24 SC,Request,2000
2398, Pontoon Boats,Power,Gas,,Aluminum,,,24',"Brookfield, CT",Sweetwater,,Single Outboard,1998,Sweetwater,2424,"$9,995",1998
2399, Pontoon Boats,Power,Other,,Aluminum,Other,,24',"Ticonderoga, NY",Sweetwater,,Other,2005,Sweetwater,2424DF,"$13,999",2005
2400, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,24',"Burnt Hills, NY",Sweetwater,,Single Outboard,2017,Sweetwater,2486,"$46,315",2017
2401, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,24',"Burnt Hills, NY",Sweetwater,,Single Outboard,2016,Sweetwater,SW 2486,"$46,938",2016
2402, Bowrider,Power,Gas,US-TIX0466TD808,Fiberglass,,,24',"Elkton, MD",Tige,,Single Inboard,2008,Tige,24Ve,"$39,900",2008
2403, Walkarounds,Power,Gas,WELANA42I203,Fiberglass,Other,,24',"Thornhurst, PA",Wellcraft,,Single Outboard,2003,Wellcraft,240 Coastal Tournament,"$28,000",2003
2404," Walkarounds, Saltwater Fishing",Power,Gas,,Fiberglass,Deep Vee,10 year,24',"Mamaroneck, NY",Wellcraft,,Single Outboard,2017,Wellcraft,252 Coastal,Request,2017
2405, Walkarounds,Power,Gas,,Fiberglass,,,24',"Sodus Point, NY",Wellcraft,,Single Outboard,2002,Wellcraft,Walkaround,"$23,900",2002
2406," Jet Boats, Runabouts",Power,Gas,,Other,Other,,24',"Hilton, NY",Yamaha,,Twin Inboard,2012,Yamaha,SX 240 HO,"$41,800",2012
2407," Jet Boats, Bowrider",Power,Other,YAMC0229H617,Fiberglass,Modified Vee,,24',"Bridgeport, NY",Yamaha,,Other,2017,Yamaha,242 Limited S,"$61,999",2017
2408, Jet Boats,Power,Gas,,Fiberglass,Deep Vee,,24',"Quakertown,, PA",Yamaha,,Other,2017,Yamaha,242 Limited S,"$62,849",2017
2409," Jet Boats, Bowrider",Power,Gas,,Fiberglass,Modified Vee,5 year,24',"Stony Point, NY",Yamaha,,Twin Inboard,2017,Yamaha,242 Limited S,"$54,000",2017
2410," Bowrider, Runabouts, Jet Boats",Power,Gas,,Fiberglass,Modified Vee,5 year,24',"Stony Point, NY",Yamaha,,Twin Inboard,2016,Yamaha,242 Limited S,"$54,000",2016
2411, Jet Boats,Power,Gas,,Fiberglass,Deep Vee,,24',"Staten Island, NY",Yamaha,,Other,2016,Yamaha,242 Limited S E-Series,"$52,999",2016
2412, Bowrider,Power,Gas,,Fiberglass,Other,,24',"Webster, NY",Yamaha,,Other,2015,Yamaha,242 Limited S,"$55,000",2015
2413," Bowrider, Jet Boats",Power,Gas,,Fiberglass,Modified Vee,5 year,24',"Freeport, NY",Yamaha,,Other,2015,Yamaha,242 Limited S,"$44,888",2015
2414," Unspecified, Jet Boats",Power,Gas,,Other,Other,,24',"Florence, NJ",Yamaha,,Other,2013,Yamaha,242 Limited S,"$49,999",2013
2415," Runabouts, Bowrider",Power,Gas,YAMCG158J011,Fiberglass,Modified Vee,5 year,24',"Tonawanda, NY",Yamaha,,Twin Inboard,2011,Yamaha,242 Limited S,"$38,900",2011
2416, Jet Boats,Power,,,Fiberglass,,,24',"Stony Point, NY",Yamaha,,Other,2018,Yamaha,242XE,"$73,999",2018
2417, Jet Boats,Power,Gas,,Fiberglass,Deep Vee,,24',"Quakertown,, PA",Yamaha,,Other,2017,Yamaha,AR240,"$54,849",2017
2418, Jet Boats,Power,Gas,,Fiberglass,Other,,24',"Newark, DE",Yamaha,,Single Inboard,2013,Yamaha,AR240 High Output,"$44,950",2013
2419, Jet Boats,Power,Gas,,Fiberglass,Deep Vee,,24',"Derby, NY",Yamaha,,Other,2017,Yamaha,SX240,"$52,999",2017
2420, Pontoon Boats,Power,,,Aluminum,Pontoon,,24',"Bolton Landing, NY",Princecraft,,Other,2017,Princecraft,Vogue 23 XT,Request,2017
2421, Pontoon Boats,Power,,,Aluminum,Pontoon,,24',"Bolton Landing, NY",Princecraft,,Other,2017,Princecraft,Vogue 23,Request,2017
2422, Pontoon Boats,Power,,,Aluminum,Pontoon,,24',"Ogdensburg, NY",Princecraft,,Other,2017,Princecraft,Vogue 23,Request,2017
2423, Pontoon Boats,Power,,,Aluminum,Pontoon,,24',"Ogdensburg, NY",Princecraft,,Other,2017,Princecraft,Vogue 23 XT,Request,2017
2424, Bowrider,Power,Gas,PNYUSF5ZF717,Fiberglass,,,24',"Ticonderoga, NY",Stingray,,Other,2017,Stingray,235LR I/O,"$52,505",2017
2425, Pontoon Boats,Power,Gas,,Aluminum,,99 year,24',"Lake Hopatcong, NJ",Starcraft,,Single Outboard,2017,Starcraft,CX 23 RP Incl. 3rd PTS Tube,"$42,777",2017
2426, Pontoon Boats,Power,Gas,,Aluminum,,99 year,24',"Lake Hopatcong, NJ",Starcraft,,Single Outboard,2017,Starcraft,CX 23 RE incl. 3rd PTS Tube,"$44,899",2017
2427," Ski and Wakeboard Boats, Bowrider",Power,Gas,,Fiberglass,Modified Vee,99 year,24',"Grand Island, NY",Monterey,,Other,2016,Monterey,M4,Request,2016
2428, Pontoon Boats,Power,,,Aluminum,Pontoon,,24',"Middletown, PA",Starcraft,,Single Outboard,2017,Starcraft,CX 23 R,Request,2017
2429, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,99 year,24',"Lake Hopatcong, NJ",Starcraft,,Single Outboard,2017,Starcraft,MX 23 R,"$67,681",2017
2430," Pontoon Boats, Bowrider, Deck Boats",Power,,,Aluminum,Pontoon,99 year,24',"Lake Hopatcong, NJ",Starcraft,,Single Outboard,2017,Starcraft,CX 23 FD,"$41,314",2017
2431," Pontoon Boats, Ski and Fish",Power,Gas,,Aluminum,Pontoon,99 year,24',"Middletown, PA",Starcraft,,Single Outboard,2017,Starcraft,Stardeck 236 Cruise,Request,2017
2432," Pontoon Boats, Ski and Fish",Power,Gas,,Aluminum,Pontoon,99 year,24',"Middletown, PA",Starcraft,,Single Outboard,2017,Starcraft,Stardeck 236 Cruise-N-Fish,Request,2017
2433, Pontoon Boats,Power,,,Aluminum,Pontoon,,24',"Middletown, PA",Aqua Patio,,Other,2015,Aqua Patio,220 DF,Request,2015
2434, Pontoon Boats,Power,,,Aluminum,Pontoon,,24',"Greentown, PA",South Bay,,Single Outboard,2018,South Bay,224 RS,"$39,999",2018
2435, Pontoon Boats,Power,,FRU37776C717,Aluminum,Pontoon,,24',"Brant Lake, NY",South Bay,,Single Outboard,2017,South Bay,224 RS,"$44,556",2017
2436, Pontoon Boats,Power,,FRU37825C717,Aluminum,Pontoon,,24',"Brant Lake, NY",South Bay,,Single Outboard,2017,South Bay,224 RS,"$42,079",2017
2437, Pontoon Boats,Power,Gas,FRU37701C717,Aluminum,Pontoon,,24',"Brant Lake, NY",South Bay,,Single Outboard,2017,South Bay,224 CR,"$39,878",2017
